Country Name,Country Code,GDP,Population
,,,
,,,
,,,
,,,
Aruba,ABW,,106314
Afghanistan,AFG,502.1154869,38041754
Angola,AGO,2973.59116,31825295
Albania,ALB,5352.857411,2854191
Andorra,AND,40886.39116,77142
Arab World,ARB,6580.056257,427870270
United Arab Emirates,ARE,43103.32306,9770529
Argentina,ARG,10006.14897,44938712
Armenia,ARM,4622.733493,2957731
American Samoa,ASM,0,55312
Antigua and Barbuda,ATG,17790.30931,97118
Australia,AUS,54907.10191,25364307
Austria,AUT,50277.27509,8877067
Azerbaijan,AZE,4793.58702,10023318
Burundi,BDI,261.2474725,11530580
Belgium,BEL,46116.69923,11484055
Benin,BEN,1219.432672,11801151
Burkina Faso,BFA,774.8396902,20321378
Bangladesh,BGD,1855.739824,163046161
Bulgaria,BGR,9737.601351,6975761
Bahrain,BHR,23503.97713,1641172
"Bahamas, The",BHS,32933.48601,389482
Bosnia and Herzegovina,BIH,6073.265203,3301000
Belarus,BLR,6663.295293,9466856
Belize,BLZ,4815.163711,390353
Bermuda,BMU,0,63918
Bolivia,BOL,3552.068762,11513100
Brazil,BRA,8717.186278,211049527
Barbados,BRB,18148.24493,287025
Brunei Darussalam,BRN,31086.75108,433285
Bhutan,BTN,0,763092
Botswana,BWA,7961.33814,2303697
Central African Republic,CAF,467.9074406,4745185
Canada,CAN,46194.72523,37589262
Central Europe and the Baltics,CEB,16184.33201,102378579
Switzerland,CHE,81993.72715,8574832
Channel Islands,CHI,0,172259
Chile,CHL,14896.45387,18952038
China,CHN,10261.67913,1397715000
Cote d'Ivoire,CIV,2286.162777,25716544
Cameroon,CMR,1497.909176,25876380
"Congo, Dem. Rep.",COD,545.2162123,86790567
"Congo, Rep.",COG,2011.072399,5380508
Colombia,COL,6432.387583,50339443
Comoros,COM,1393.522372,850886
Cabo Verde,CPV,3603.781794,549935
Costa Rica,CRI,12238.37496,5047561
Caribbean small states,CSS,10307.58628,7401381
Cuba,CUB,0,11333483
Curacao,CUW,0,157538
Cayman Islands,CYM,0,64948
Cyprus,CYP,27858.371,1198575
Czech Republic,CZE,23101.7777,10669709
Germany,DEU,46258.87829,83132799
Djibouti,DJI,3408.846254,973560
Dominica,DMA,8300.375074,71808
Denmark,DNK,59822.09296,5818553
Dominican Republic,DOM,8282.116222,10738958
Algeria,DZA,3948.343279,43053054
East Asia & Pacific (excluding high income),EAP,8222.07773,2093675040
Early-demographic dividend,EAR,3641.494281,3290290622
East Asia & Pacific,EAS,11526.73649,2340628292
Europe & Central Asia (excluding high income),ECA,8110.721448,399404587
Europe & Central Asia,ECS,24696.33961,921140092
Ecuador,ECU,6183.823825,17373662
"Egypt, Arab Rep.",EGY,3020.03135,100388073
Euro area,EMU,38925.66511,342597698
Eritrea,ERI,0,3497117
Spain,ESP,29613.67114,47076781
Estonia,EST,23659.87229,1326590
Ethiopia,ETH,857.501351,112078730
European Union,EUU,34843.29747,447512041
Fragile and conflict affected situations,FCS,2190.311626,798138587
Finland,FIN,48685.85399,5520314
Fiji,FJI,6220.046421,889953
France,FRA,40493.92857,67059887
Faroe Islands,FRO,0,48678
"Micronesia, Fed. Sts.",FSM,0,113815
